DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
190326475,3/1/2020 0:00,3/1/2020 0:00,2130,7,Wilshire,784,1,510,VEHICLE - STOLEN,,0,M,O,101,STREET,,,AA,Adult Arrest,510,998,,,1900 S  LONGWOOD                     AV,,34.0375,-118.3506
200106753,2/9/2020 0:00,2/8/2020 0:00,1800,1,Central,182,1,330,BURGLARY FROM VEHICLE,1822 1402 0344,47,M,O,128,BUS STOP/LAYOVER (ALSO QUERY 124),,,IC,Invest Cont,330,998,,,1000 S  FLOWER                       ST,,34.0444,-118.2628
200320258,11/11/2020 0:00,11/4/2020 0:00,1700,3,Southwest,356,1,480,BIKE - STOLEN,0344 1251,19,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480,,,,1400 W  37TH                         ST,,34.021,-118.3002
200907217,5/10/2023 0:00,3/10/2020 0:00,2037,9,Van Nuys,964,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 1501,19,M,O,405,CLOTHING STORE,,,IC,Invest Cont,343,,,,14000    RIVERSIDE                    DR,,34.1576,-118.4387
200412582,9/9/2020 0:00,9/9/2020 0:00,630,4,Hollenbeck,413,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,200 E  AVENUE 28,,34.082,-118.213
200209713,5/3/2020 0:00,5/2/2020 0:00,1800,2,Rampart,245,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2500 W  4TH                          ST,,34.0642,-118.2771
200200759,7/7/2020 0:00,7/7/2020 0:00,1340,2,Rampart,265,1,648,ARSON,0329 1402 2004 1501,0,X,X,101,STREET,,,IC,Invest Cont,648,998,,,JAMES M WOOD,ALVARADO,34.0536,-118.2788
201308739,3/27/2020 0:00,3/27/2020 0:00,1210,13,Newton,1333,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,3200 S  SAN PEDRO                    ST,,34.017,-118.2643
201112065,7/31/2020 0:00,7/30/2020 0:00,2030,11,Northeast,1161,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,,KENMORE                      ST,FOUNTAIN,34.0953,-118.2974
200121929,12/4/2020 0:00,12/3/2020 0:00,2300,1,Central,105,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,400    SOLANO                       AV,,34.071,-118.2302
201215394,6/26/2020 0:00,6/25/2020 0:00,2200,12,77th Street,1259,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,FLORENCE,WADSWORTH,33.9747,-118.2587
200406391,3/2/2020 0:00,3/1/2020 0:00,1430,4,Hollenbeck,407,1,310,BURGLARY,0344 1607,27,M,W,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,4500    HUNTINGTON DR,,34.0881,-118.1877
200114396,7/6/2020 0:00,7/4/2020 0:00,100,1,Central,157,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,6TH                          ST,CROCKER,34.0423,-118.2453
200912561,7/20/2020 0:00,7/20/2020 0:00,700,9,Van Nuys,937,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,BESSEMER,RANCHITO,34.1812,-118.4356
200207955,3/19/2020 0:00,3/19/2020 0:00,130,2,Rampart,236,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1900    MIRAMAR                      ST,,34.0632,-118.2693
200112598,6/1/2020 0:00,5/30/2020 0:00,30,1,Central,153,1,310,BURGLARY,1609 0344,0,M,W,201,JEWELRY STORE,,,AA,Adult Arrest,310,,,,600 S  BROADWAY,,34.0467,-118.252
200905707,2/8/2020 0:00,2/7/2020 0:00,2000,9,Van Nuys,939,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AO,Adult Other,510,,,,AETNA,ATOLL,34.1803,-118.4204
200215463,9/26/2020 0:00,9/25/2020 0:00,1900,2,Rampart,237,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1600 W  COURT                        ST,,34.0668,-118.2627
200308100,3/7/2020 0:00,3/6/2020 0:00,2200,3,Southwest,317,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,VERMONT,24TH,34.0344,-118.2915
200606074,2/12/2020 0:00,2/7/2020 0:00,1615,6,Hollywood,646,2,805,PIMPING,1300 1402,23,F,H,101,STREET,,,AA,Adult Arrest,805,998,,,HOLLYWOOD,MC CADDEN,34.1016,-118.337
200517540,12/7/2020 0:00,11/30/2020 0:00,2255,5,Harbor,541,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1400    BRETT                        PL,,33.7553,-118.3056
200506977,3/10/2020 0:00,2/22/2020 0:00,30,5,Harbor,511,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,,1600 W  PACIFIC COAST                HY,,33.7926,-118.3043
201110303,6/11/2020 0:00,6/8/2020 0:00,2000,11,Northeast,1118,1,310,BURGLARY,0344 1607,0,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,100    AVENUE 56,,34.1089,-118.1942
201000767,7/14/2020 0:00,7/13/2020 0:00,2000,10,West Valley,1043,1,330,BURGLARY FROM VEHICLE,0344 1602 1822 1402,41,M,W,108,PARKING LOT,,,AA,Adult Arrest,330,998,,,18600    HATTERAS                     ST,,34.1774,-118.5387
200510354,6/8/2020 0:00,6/8/2020 0:00,330,5,Harbor,587,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,2900 S  KERCKHOFF                    AV,,33.7179,-118.2898
200410136,6/24/2020 0:00,6/24/2020 0:00,700,4,Hollenbeck,413,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,300 E  AVENUE 31,,34.0809,-118.2132
200814461,9/24/2020 0:00,9/24/2020 0:00,1710,8,West LA,898,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,ROBERTSON                    BL,GIBSON                       ST,34.0375,-118.3886
201215562,6/29/2020 0:00,6/29/2020 0:00,730,12,77th Street,1263,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,81ST,DENKER,33.9655,-118.3046
200210168,5/14/2020 0:00,5/12/2020 0:00,2100,2,Rampart,266,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,700 S  UNION                        AV,,34.0531,-118.2738
200714301,9/27/2020 0:00,9/22/2020 0:00,1430,7,Wilshire,702,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,800 N  FULLER                       AV,,34.0853,-118.3499
200906009,2/14/2020 0:00,2/13/2020 0:00,2230,9,Van Nuys,914,2,806,PANDERING,0908 1212 1402,0,F,X,101,STREET,,,AO,Adult Other,806,998,,,SEPULVEDA,BASSETT,34.1958,-118.4662
200218448,12/11/2020 0:00,12/10/2020 0:00,2000,2,Rampart,271,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,900 S  ALVARADO                     ST,,34.0529,-118.2819
200618540,11/27/2020 0:00,11/27/2020 0:00,950,6,Hollywood,642,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,ORANGE,SUNSET,34.0981,-118.3577
